run_id,date,line,product,shift,operator,target_units,actual_units,reject_units,oee_pct,downtime_minutes,downtime_cause,description
RUN-412434,2023-01-06,Line-A,Widget-Alpha,Afternoon,Op-103,1484,1009,25,66.3,120,changeover,"Run RUN-412434: Line-A, Widget-Alpha, Afternoon shift. Performance summary — Availability: 87.2%, Performance: 78.0%, Quality: 97.5%, OEE: 66.3%. Downtime cause: changeover. Operator Op-103 reported temp spike in oven unit at 22:00."
RUN-467355,2023-10-19,Line-D,Valve-X200,Day,Op-105,1358,1220,41,86.8,108,material shortage,"Day shift run on Line-D. Valve-X200 batch RUN-467355. Achieved 86.8% OEE against 1358 unit target. 1220 units produced, 41 scrapped. Key downtime event: material shortage (108 min). Shift supervisor signed off."
RUN-253672,2024-03-11,Line-B,Pump-G10,Night,Op-102,415,306,5,72.4,46,unplanned jam,"Run RUN-253672: Line-B, Pump-G10, Night shift. Performance summary — Availability: 82.9%, Performance: 89.0%, Quality: 98.1%, OEE: 72.4%. Downtime cause: unplanned jam. Operator Op-102 reported no abnormal conditions."
RUN-716813,2024-06-15,Line-D,Widget-Alpha,Day,Op-101,1070,890,49,78.5,47,quality hold,"Run RUN-716813: Line-D, Widget-Alpha, Day shift. Performance summary — Availability: 96.3%, Performance: 86.4%, Quality: 94.4%, OEE: 78.5%. Downtime cause: quality hold. Operator Op-101 reported temp spike in oven unit at 22:00."
RUN-963829,2023-05-28,Line-D,Valve-X200,Night,Op-104,1503,1096,8,72.3,62,quality hold,Production run RUN-963829 on Line-D during Night shift. Product: Valve-X200. Target output: 1503 units. Actual output: 1096 units (OEE: 72.3%). Downtime: 62 minutes due to quality hold. Quality rejects: 8 units. Operator: Op-104. Run completed without safety incidents.
RUN-596349,2023-06-10,Line-B,Pump-G10,Night,Op-104,464,397,19,81.6,88,minor stoppages,Production run RUN-596349 on Line-B during Night shift. Product: Pump-G10. Target output: 464 units. Actual output: 397 units (OEE: 81.6%). Downtime: 88 minutes due to minor stoppages. Quality rejects: 19 units. Operator: Op-104. Run completed without safety incidents.
RUN-419736,2023-11-07,Line-C,Widget-Alpha,Night,Op-104,425,293,28,62.5,19,changeover,"Night shift run on Line-C. Widget-Alpha batch RUN-419736. Achieved 62.5% OEE against 425 unit target. 293 units produced, 28 scrapped. Key downtime event: changeover (19 min). Shift supervisor signed off."
RUN-291970,2024-05-15,Line-C,Pump-G10,Day,Op-102,491,391,2,79.3,39,planned break,"Run RUN-291970: Line-C, Pump-G10, Day shift. Performance summary — Availability: 93.8%, Performance: 85.1%, Quality: 99.3%, OEE: 79.3%. Downtime cause: planned break. Operator Op-102 reported slight vibration on feeder belt."
RUN-919304,2024-05-01,Line-A,Widget-Alpha,Night,Op-103,338,275,11,78.0,72,unplanned jam,"Night shift run on Line-A. Widget-Alpha batch RUN-919304. Achieved 78.0% OEE against 338 unit target. 275 units produced, 11 scrapped. Key downtime event: unplanned jam (72 min). Shift supervisor signed off."
RUN-506045,2024-02-09,Line-B,Widget-Beta,Night,Op-104,1759,1294,18,72.6,41,changeover,Production run RUN-506045 on Line-B during Night shift. Product: Widget-Beta. Target output: 1759 units. Actual output: 1294 units (OEE: 72.6%). Downtime: 41 minutes due to changeover. Quality rejects: 18 units. Operator: Op-104. Run completed without safety incidents.
RUN-688297,2023-05-07,Line-C,Gear-M5,Day,Op-104,1707,1075,90,57.7,3,material shortage,"Run RUN-688297: Line-C, Gear-M5, Day shift. Performance summary — Availability: 81.7%, Performance: 77.1%, Quality: 91.6%, OEE: 57.7%. Downtime cause: material shortage. Operator Op-104 reported one label printer jam at 14:30."
RUN-226126,2024-06-28,Line-A,Widget-Beta,Night,Op-105,1381,1261,60,87.0,96,unplanned jam,"Run RUN-226126: Line-A, Widget-Beta, Night shift. Performance summary — Availability: 93.2%, Performance: 98.0%, Quality: 95.2%, OEE: 87.0%. Downtime cause: unplanned jam. Operator Op-105 reported no abnormal conditions."
RUN-521315,2023-02-16,Line-B,Widget-Alpha,Afternoon,Op-102,702,633,27,86.4,10,tooling change,"Run RUN-521315: Line-B, Widget-Alpha, Afternoon shift. Performance summary — Availability: 94.9%, Performance: 95.1%, Quality: 95.7%, OEE: 86.4%. Downtime cause: tooling change. Operator Op-102 reported one label printer jam at 14:30."
RUN-204158,2023-06-22,Line-D,Widget-Alpha,Afternoon,Op-104,569,462,31,75.7,32,changeover,"Run RUN-204158: Line-D, Widget-Alpha, Afternoon shift. Performance summary — Availability: 85.0%, Performance: 95.6%, Quality: 93.1%, OEE: 75.7%. Downtime cause: changeover. Operator Op-104 reported no abnormal conditions."
RUN-290272,2024-12-31,Line-C,Widget-Beta,Day,Op-103,1773,1127,67,59.8,21,changeover,Production run RUN-290272 on Line-C during Day shift. Product: Widget-Beta. Target output: 1773 units. Actual output: 1127 units (OEE: 59.8%). Downtime: 21 minutes due to changeover. Quality rejects: 67 units. Operator: Op-103. Run completed without safety incidents.
RUN-154398,2023-09-03,Line-A,Valve-X200,Afternoon,Op-101,855,646,47,70.0,120,tooling change,Production run RUN-154398 on Line-A during Afternoon shift. Product: Valve-X200. Target output: 855 units. Actual output: 646 units (OEE: 70.0%). Downtime: 120 minutes due to tooling change. Quality rejects: 47 units. Operator: Op-101. Run completed without safety incidents.
RUN-607690,2024-02-22,Line-B,Pump-G10,Night,Op-105,988,787,53,74.3,70,unplanned jam,Production run RUN-607690 on Line-B during Night shift. Product: Pump-G10. Target output: 988 units. Actual output: 787 units (OEE: 74.3%). Downtime: 70 minutes due to unplanned jam. Quality rejects: 53 units. Operator: Op-105. Run completed without safety incidents.
RUN-695848,2024-04-01,Line-B,Widget-Alpha,Afternoon,Op-105,1400,1032,46,70.5,100,minor stoppages,"Afternoon shift run on Line-B. Widget-Alpha batch RUN-695848. Achieved 70.5% OEE against 1400 unit target. 1032 units produced, 46 scrapped. Key downtime event: minor stoppages (100 min). Shift supervisor signed off."
RUN-143822,2024-04-20,Line-A,Gear-M5,Day,Op-102,964,670,50,64.2,54,material shortage,Production run RUN-143822 on Line-A during Day shift. Product: Gear-M5. Target output: 964 units. Actual output: 670 units (OEE: 64.2%). Downtime: 54 minutes due to material shortage. Quality rejects: 50 units. Operator: Op-102. Run completed without safety incidents.
RUN-713583,2023-10-16,Line-C,Widget-Beta,Day,Op-101,1187,784,25,63.9,44,tooling change,"Run RUN-713583: Line-C, Widget-Beta, Day shift. Performance summary — Availability: 81.6%, Performance: 81.0%, Quality: 96.7%, OEE: 63.9%. Downtime cause: tooling change. Operator Op-101 reported slight vibration on feeder belt."
RUN-552945,2024-09-17,Line-A,Widget-Beta,Night,Op-105,1353,801,24,57.4,106,minor stoppages,Production run RUN-552945 on Line-A during Night shift. Product: Widget-Beta. Target output: 1353 units. Actual output: 801 units (OEE: 57.4%). Downtime: 106 minutes due to minor stoppages. Quality rejects: 24 units. Operator: Op-105. Run completed without safety incidents.
RUN-582134,2023-12-03,Line-C,Valve-X200,Night,Op-103,1741,1307,44,72.5,41,planned break,"Run RUN-582134: Line-C, Valve-X200, Night shift. Performance summary — Availability: 92.0%, Performance: 81.6%, Quality: 96.6%, OEE: 72.5%. Downtime cause: planned break. Operator Op-103 reported slight vibration on feeder belt."
