inspection_id,date,product,batch_id,inspector,total_units,defective_units,defect_rate_pct,defect_type,disposition,cp,cpk,description,corrective_action
QI-958747,2024-02-23,Valve-X200,BATCH-13527,QA-01 (John Lee),353,34,9.63,Coating defect,Rework,0.98,0.75,In-process inspection at Station 4 flagged Valve-X200 batch BATCH-13527. 34/353 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-70505.,Updated inspection sampling plan
QI-660324,2024-06-02,Pump-G10,BATCH-59412,QA-01 (John Lee),173,8,4.62,Weight out of spec,Scrap,1.46,1.25,In-process inspection at Station 8 flagged Pump-G10 batch BATCH-59412. 8/173 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-19694.,Calibrated CMM probe
QI-690579,2024-10-22,Pump-G10,BATCH-24335,QA-03 (Mike Torres),409,34,8.31,Surface scratch,Scrap,1.39,1.12,Final inspection of Pump-G10 (batch BATCH-24335). Overall yield: 91.7%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-03 (Mike Torres).,Replaced worn cutting insert
QI-585556,2024-11-26,Pump-G10,BATCH-77999,QA-02 (Sara Novak),55,0,0.0,Assembly gap,Accept,1.06,0.91,In-process inspection at Station 4 flagged Pump-G10 batch BATCH-77999. 0/55 units exhibited Assembly gap. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-83137.,Updated inspection sampling plan
QI-577450,2023-07-31,Gear-M5,BATCH-21253,QA-03 (Mike Torres),226,0,0.0,Coating defect,Rework,1.28,1.19,In-process inspection at Station 3 flagged Gear-M5 batch BATCH-21253. 0/226 units exhibited Coating defect. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-25213.,Retrained operator on torque spec
QI-779445,2023-04-22,Gear-M5,BATCH-18804,QA-02 (Sara Novak),99,7,7.07,Material void,Hold for review,1.52,1.38,"Batch BATCH-18804 of Gear-M5 inspected by QA-02 (Sara Novak). Material void found in 7 of 99 units (7.1%). Disposition: Hold for review. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.52, Cpk: 1.38. Control chart shows one-point-out-of-control signal at subgroup 12.",Adjusted feed rate on CNC-3
QI-514798,2023-01-30,Widget-Beta,BATCH-70562,QA-03 (Mike Torres),332,10,3.01,Dimensional deviation,Rework,1.13,1.0,"Batch BATCH-70562 of Widget-Beta inspected by QA-03 (Mike Torres). Dimensional deviation found in 10 of 332 units (3.0%). Disposition: Rework. Corrective action initiated: Replaced worn cutting insert. Process Cp: 1.13, Cpk: 1.00. Control chart shows bimodal distribution — two machines suspected.",Replaced worn cutting insert
QI-441819,2023-07-21,Gear-M5,BATCH-18200,QA-01 (John Lee),249,0,0.0,Assembly gap,Hold for review,1.5,1.44,"Batch BATCH-18200 of Gear-M5 inspected by QA-01 (John Lee). Assembly gap found in 0 of 249 units (0.0%). Disposition: Hold for review. Corrective action initiated: Calibrated CMM probe. Process Cp: 1.50, Cpk: 1.44. Control chart shows one-point-out-of-control signal at subgroup 12.",Calibrated CMM probe
QI-953266,2024-11-20,Pump-G10,BATCH-86939,QA-01 (John Lee),320,20,6.25,Material void,Hold for review,1.4,1.22,In-process inspection at Station 6 flagged Pump-G10 batch BATCH-86939. 20/320 units exhibited Material void. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-24972.,Retrained operator on torque spec
QI-538555,2024-09-02,Valve-X200,BATCH-25328,QA-03 (Mike Torres),394,8,2.03,Coating defect,Accept,1.11,1.04,Final inspection of Valve-X200 (batch BATCH-25328). Overall yield: 98.0%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-03 (Mike Torres).,Replaced worn cutting insert
QI-296187,2023-11-19,Widget-Beta,BATCH-94575,QA-03 (Mike Torres),145,7,4.83,Assembly gap,Hold for review,1.44,1.23,In-process inspection at Station 3 flagged Widget-Beta batch BATCH-94575. 7/145 units exhibited Assembly gap. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-32706.,Updated inspection sampling plan
QI-535820,2024-12-28,Pump-G10,BATCH-83607,QA-03 (Mike Torres),54,3,5.56,Surface scratch,Scrap,0.94,0.7,Final inspection of Pump-G10 (batch BATCH-83607). Overall yield: 94.4%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-03 (Mike Torres).,Updated inspection sampling plan
QI-918665,2024-04-13,Pump-G10,BATCH-14285,QA-02 (Sara Novak),339,1,0.29,Dimensional deviation,Accept,1.6,1.53,In-process inspection at Station 4 flagged Pump-G10 batch BATCH-14285. 1/339 units exhibited Dimensional deviation. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-46025.,Calibrated CMM probe
QI-545807,2023-04-15,Gear-M5,BATCH-58085,QA-03 (Mike Torres),343,7,2.04,Assembly gap,Accept,1.07,0.91,Final inspection of Gear-M5 (batch BATCH-58085). Overall yield: 98.0%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-03 (Mike Torres).,Updated inspection sampling plan
QI-845279,2024-09-16,Widget-Beta,BATCH-25386,QA-02 (Sara Novak),184,11,5.98,Surface scratch,Hold for review,1.66,1.63,Final inspection of Widget-Beta (batch BATCH-25386). Overall yield: 94.0%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-02 (Sara Novak).,Calibrated CMM probe
QI-439375,2024-12-21,Pump-G10,BATCH-84720,QA-01 (John Lee),451,13,2.88,Coating defect,Rework,1.61,1.37,Final inspection of Pump-G10 (batch BATCH-84720). Overall yield: 97.1%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-01 (John Lee).,Calibrated CMM probe
QI-835499,2023-05-16,Valve-X200,BATCH-22481,QA-02 (Sara Novak),489,32,6.54,Coating defect,Scrap,1.79,1.59,In-process inspection at Station 7 flagged Valve-X200 batch BATCH-22481. 32/489 units exhibited Coating defect. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-27771.,Adjusted feed rate on CNC-3
QI-179184,2024-10-10,Widget-Beta,BATCH-74154,QA-01 (John Lee),474,15,3.16,Weight out of spec,Scrap,1.56,1.36,In-process inspection at Station 5 flagged Widget-Beta batch BATCH-74154. 15/474 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-28634.,Updated inspection sampling plan
QI-991401,2023-03-06,Widget-Alpha,BATCH-86278,QA-02 (Sara Novak),405,23,5.68,Coating defect,Scrap,1.25,1.1,Final inspection of Widget-Alpha (batch BATCH-86278). Overall yield: 94.3%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-02 (Sara Novak).,Updated inspection sampling plan
QI-815707,2023-02-19,Gear-M5,BATCH-47171,QA-02 (Sara Novak),472,13,2.75,Dimensional deviation,Hold for review,1.29,1.19,In-process inspection at Station 3 flagged Gear-M5 batch BATCH-47171. 13/472 units exhibited Dimensional deviation. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-54270.,Calibrated CMM probe
QI-781571,2023-11-06,Widget-Alpha,BATCH-69836,QA-01 (John Lee),58,0,0.0,Weight out of spec,Hold for review,1.73,1.68,Final inspection of Widget-Alpha (batch BATCH-69836). Overall yield: 100.0%. Weight out of spec accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-550081,2024-11-02,Widget-Beta,BATCH-31695,QA-02 (Sara Novak),178,2,1.12,Surface scratch,Scrap,1.17,0.9,Final inspection of Widget-Beta (batch BATCH-31695). Overall yield: 98.9%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-02 (Sara Novak).,Retrained operator on torque spec
QI-956800,2023-05-04,Widget-Alpha,BATCH-78084,QA-03 (Mike Torres),159,15,9.43,Surface scratch,Accept,0.88,0.7,"Batch BATCH-78084 of Widget-Alpha inspected by QA-03 (Mike Torres). Surface scratch found in 15 of 159 units (9.4%). Disposition: Accept. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 0.88, Cpk: 0.70. Control chart shows one-point-out-of-control signal at subgroup 12.",Adjusted feed rate on CNC-3
QI-501312,2023-05-17,Pump-G10,BATCH-23425,QA-03 (Mike Torres),86,3,3.49,Dimensional deviation,Hold for review,1.18,0.96,In-process inspection at Station 6 flagged Pump-G10 batch BATCH-23425. 3/86 units exhibited Dimensional deviation. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-23526.,Retrained operator on torque spec
QI-327797,2023-03-30,Widget-Beta,BATCH-92323,QA-01 (John Lee),362,10,2.76,Coating defect,Accept,1.24,1.02,Final inspection of Widget-Beta (batch BATCH-92323). Overall yield: 97.2%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-01 (John Lee).,Calibrated CMM probe
QI-916808,2024-12-08,Widget-Alpha,BATCH-46302,QA-01 (John Lee),229,13,5.68,Surface scratch,Hold for review,1.11,1.07,Final inspection of Widget-Alpha (batch BATCH-46302). Overall yield: 94.3%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-623850,2024-10-15,Widget-Alpha,BATCH-17152,QA-03 (Mike Torres),315,12,3.81,Material void,Rework,1.55,1.46,"Batch BATCH-17152 of Widget-Alpha inspected by QA-03 (Mike Torres). Material void found in 12 of 315 units (3.8%). Disposition: Rework. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.55, Cpk: 1.46. Control chart shows stable within control limits.",Updated inspection sampling plan
QI-899776,2024-04-27,Gear-M5,BATCH-84498,QA-01 (John Lee),234,10,4.27,Coating defect,Accept,0.93,0.67,Final inspection of Gear-M5 (batch BATCH-84498). Overall yield: 95.7%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-01 (John Lee).,Calibrated CMM probe
QI-835901,2024-02-16,Widget-Alpha,BATCH-62163,QA-01 (John Lee),57,2,3.51,Coating defect,Accept,1.02,0.74,In-process inspection at Station 5 flagged Widget-Alpha batch BATCH-62163. 2/57 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Calibrated CMM probe. Root cause investigation opened under NCR-NCR-76402.,Calibrated CMM probe
QI-425236,2024-12-16,Widget-Alpha,BATCH-36633,QA-03 (Mike Torres),192,2,1.04,Coating defect,Rework,1.11,0.96,Final inspection of Widget-Alpha (batch BATCH-36633). Overall yield: 99.0%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-03 (Mike Torres).,Updated inspection sampling plan
QI-225245,2023-01-13,Pump-G10,BATCH-90254,QA-03 (Mike Torres),175,2,1.14,Dimensional deviation,Accept,1.72,1.69,Final inspection of Pump-G10 (batch BATCH-90254). Overall yield: 98.9%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-03 (Mike Torres).,Retrained operator on torque spec
QI-868538,2023-05-01,Widget-Beta,BATCH-43980,QA-03 (Mike Torres),304,30,9.87,Surface scratch,Rework,1.15,0.99,Final inspection of Widget-Beta (batch BATCH-43980). Overall yield: 90.1%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-03 (Mike Torres).,Replaced worn cutting insert
QI-158132,2024-05-26,Widget-Alpha,BATCH-92251,QA-02 (Sara Novak),318,4,1.26,Assembly gap,Scrap,1.06,0.77,Final inspection of Widget-Alpha (batch BATCH-92251). Overall yield: 98.7%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-02 (Sara Novak).,Updated inspection sampling plan
QI-148215,2024-04-28,Gear-M5,BATCH-25117,QA-01 (John Lee),180,3,1.67,Material void,Rework,1.69,1.49,"Batch BATCH-25117 of Gear-M5 inspected by QA-01 (John Lee). Material void found in 3 of 180 units (1.7%). Disposition: Rework. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.69, Cpk: 1.49. Control chart shows stable within control limits.",Adjusted feed rate on CNC-3
QI-855276,2023-11-24,Valve-X200,BATCH-95944,QA-02 (Sara Novak),489,2,0.41,Dimensional deviation,Rework,1.35,1.08,"Batch BATCH-95944 of Valve-X200 inspected by QA-02 (Sara Novak). Dimensional deviation found in 2 of 489 units (0.4%). Disposition: Rework. Corrective action initiated: Retrained operator on torque spec. Process Cp: 1.35, Cpk: 1.08. Control chart shows bimodal distribution — two machines suspected.",Retrained operator on torque spec
QI-396020,2023-11-15,Valve-X200,BATCH-39253,QA-01 (John Lee),111,8,7.21,Coating defect,Scrap,1.47,1.45,"Batch BATCH-39253 of Valve-X200 inspected by QA-01 (John Lee). Coating defect found in 8 of 111 units (7.2%). Disposition: Scrap. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.47, Cpk: 1.45. Control chart shows bimodal distribution — two machines suspected.",Updated inspection sampling plan
QI-910143,2023-07-20,Valve-X200,BATCH-49834,QA-01 (John Lee),54,2,3.7,Coating defect,Hold for review,1.0,0.83,In-process inspection at Station 4 flagged Valve-X200 batch BATCH-49834. 2/54 units exhibited Coating defect. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-91620.,Updated inspection sampling plan
QI-208998,2023-07-30,Gear-M5,BATCH-11257,QA-01 (John Lee),259,0,0.0,Dimensional deviation,Accept,1.03,0.93,Final inspection of Gear-M5 (batch BATCH-11257). Overall yield: 100.0%. Dimensional deviation accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-01 (John Lee).,Updated inspection sampling plan
QI-708982,2023-04-08,Gear-M5,BATCH-40339,QA-01 (John Lee),80,2,2.5,Assembly gap,Hold for review,1.51,1.48,In-process inspection at Station 7 flagged Gear-M5 batch BATCH-40339. 2/80 units exhibited Assembly gap. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-78125.,Retrained operator on torque spec
QI-433507,2024-04-08,Gear-M5,BATCH-41034,QA-01 (John Lee),88,0,0.0,Weight out of spec,Hold for review,1.23,0.94,In-process inspection at Station 5 flagged Gear-M5 batch BATCH-41034. 0/88 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Retrained operator on torque spec. Root cause investigation opened under NCR-NCR-48230.,Retrained operator on torque spec
QI-907756,2023-08-01,Valve-X200,BATCH-68925,QA-01 (John Lee),119,9,7.56,Surface scratch,Rework,0.91,0.88,"Batch BATCH-68925 of Valve-X200 inspected by QA-01 (John Lee). Surface scratch found in 9 of 119 units (7.6%). Disposition: Rework. Corrective action initiated: Updated inspection sampling plan. Process Cp: 0.91, Cpk: 0.88. Control chart shows one-point-out-of-control signal at subgroup 12.",Updated inspection sampling plan
QI-195643,2024-12-29,Pump-G10,BATCH-49874,QA-02 (Sara Novak),486,7,1.44,Assembly gap,Scrap,0.89,0.65,In-process inspection at Station 1 flagged Pump-G10 batch BATCH-49874. 7/486 units exhibited Assembly gap. Inspector QA-02 (Sara Novak) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-89076.,Replaced worn cutting insert
QI-199326,2024-04-18,Widget-Beta,BATCH-14073,QA-02 (Sara Novak),396,19,4.8,Assembly gap,Accept,1.06,0.76,Final inspection of Widget-Beta (batch BATCH-14073). Overall yield: 95.2%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-02 (Sara Novak).,Calibrated CMM probe
QI-952227,2023-03-18,Widget-Alpha,BATCH-58790,QA-01 (John Lee),81,3,3.7,Surface scratch,Accept,0.93,0.68,Final inspection of Widget-Alpha (batch BATCH-58790). Overall yield: 96.3%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-01 (John Lee).,Calibrated CMM probe
QI-701761,2024-03-19,Widget-Alpha,BATCH-53456,QA-01 (John Lee),464,8,1.72,Dimensional deviation,Hold for review,0.89,0.64,"Batch BATCH-53456 of Widget-Alpha inspected by QA-01 (John Lee). Dimensional deviation found in 8 of 464 units (1.7%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 0.89, Cpk: 0.64. Control chart shows stable within control limits.",Updated inspection sampling plan
QI-743937,2024-09-26,Pump-G10,BATCH-34530,QA-02 (Sara Novak),399,27,6.77,Surface scratch,Hold for review,0.97,0.91,"Batch BATCH-34530 of Pump-G10 inspected by QA-02 (Sara Novak). Surface scratch found in 27 of 399 units (6.8%). Disposition: Hold for review. Corrective action initiated: Updated inspection sampling plan. Process Cp: 0.97, Cpk: 0.91. Control chart shows upward drift suggesting tool wear.",Updated inspection sampling plan
QI-773870,2024-06-22,Gear-M5,BATCH-21497,QA-01 (John Lee),305,13,4.26,Weight out of spec,Scrap,1.68,1.54,In-process inspection at Station 7 flagged Gear-M5 batch BATCH-21497. 13/305 units exhibited Weight out of spec. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Replaced worn cutting insert. Root cause investigation opened under NCR-NCR-46670.,Replaced worn cutting insert
QI-127329,2023-11-23,Widget-Beta,BATCH-73527,QA-03 (Mike Torres),245,22,8.98,Coating defect,Accept,1.16,1.0,In-process inspection at Station 6 flagged Widget-Beta batch BATCH-73527. 22/245 units exhibited Coating defect. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Updated inspection sampling plan. Root cause investigation opened under NCR-NCR-55093.,Updated inspection sampling plan
QI-379473,2024-06-30,Gear-M5,BATCH-40508,QA-01 (John Lee),79,7,8.86,Surface scratch,Scrap,1.33,1.1,Final inspection of Gear-M5 (batch BATCH-40508). Overall yield: 91.1%. Surface scratch accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-690462,2023-07-12,Widget-Alpha,BATCH-57026,QA-01 (John Lee),231,5,2.16,Coating defect,Hold for review,0.98,0.8,Final inspection of Widget-Alpha (batch BATCH-57026). Overall yield: 97.8%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Hold for review. Inspector: QA-01 (John Lee).,Retrained operator on torque spec
QI-945619,2023-05-14,Pump-G10,BATCH-38679,QA-03 (Mike Torres),301,1,0.33,Material void,Rework,0.89,0.82,In-process inspection at Station 8 flagged Pump-G10 batch BATCH-38679. 1/301 units exhibited Material void. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-12612.,Adjusted feed rate on CNC-3
QI-714483,2023-04-14,Valve-X200,BATCH-28566,QA-03 (Mike Torres),80,0,0.0,Dimensional deviation,Scrap,0.95,0.74,In-process inspection at Station 6 flagged Valve-X200 batch BATCH-28566. 0/80 units exhibited Dimensional deviation. Inspector QA-03 (Mike Torres) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-24538.,Adjusted feed rate on CNC-3
QI-334081,2024-11-12,Valve-X200,BATCH-73858,QA-02 (Sara Novak),130,11,8.46,Material void,Rework,1.75,1.51,Final inspection of Valve-X200 (batch BATCH-73858). Overall yield: 91.5%. Material void accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Rework. Inspector: QA-02 (Sara Novak).,Replaced worn cutting insert
QI-948095,2024-09-18,Gear-M5,BATCH-85082,QA-01 (John Lee),425,18,4.24,Assembly gap,Scrap,0.93,0.71,Final inspection of Gear-M5 (batch BATCH-85082). Overall yield: 95.8%. Assembly gap accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Scrap. Inspector: QA-01 (John Lee).,Replaced worn cutting insert
QI-568325,2023-01-12,Widget-Beta,BATCH-55457,QA-03 (Mike Torres),304,4,1.32,Coating defect,Accept,1.13,1.11,Final inspection of Widget-Beta (batch BATCH-55457). Overall yield: 98.7%. Coating defect accounted for majority of rejects. Measurement data logged to SPC system. Disposition: Accept. Inspector: QA-03 (Mike Torres).,Adjusted feed rate on CNC-3
QI-617033,2024-01-23,Valve-X200,BATCH-16310,QA-01 (John Lee),229,8,3.49,Dimensional deviation,Accept,1.59,1.37,"Batch BATCH-16310 of Valve-X200 inspected by QA-01 (John Lee). Dimensional deviation found in 8 of 229 units (3.5%). Disposition: Accept. Corrective action initiated: Updated inspection sampling plan. Process Cp: 1.59, Cpk: 1.37. Control chart shows bimodal distribution — two machines suspected.",Updated inspection sampling plan
QI-121053,2023-11-23,Valve-X200,BATCH-39567,QA-03 (Mike Torres),474,30,6.33,Assembly gap,Accept,1.59,1.42,"Batch BATCH-39567 of Valve-X200 inspected by QA-03 (Mike Torres). Assembly gap found in 30 of 474 units (6.3%). Disposition: Accept. Corrective action initiated: Adjusted feed rate on CNC-3. Process Cp: 1.59, Cpk: 1.42. Control chart shows one-point-out-of-control signal at subgroup 12.",Adjusted feed rate on CNC-3
QI-736818,2024-03-20,Valve-X200,BATCH-22203,QA-01 (John Lee),137,6,4.38,Surface scratch,Scrap,0.96,0.94,In-process inspection at Station 8 flagged Valve-X200 batch BATCH-22203. 6/137 units exhibited Surface scratch. Inspector QA-01 (John Lee) escalated to QA supervisor. Containment: Adjusted feed rate on CNC-3. Root cause investigation opened under NCR-NCR-54295.,Adjusted feed rate on CNC-3
